DateHour,Pred_Arima,Pred_Sarima,Pred_Prophet,Prophet_Lower_CI,Prophet_Upper_CI
2014-02-28 00:00:00,2413.039288730403,2034.0150160255828,1647.599445096279,1426.7820532912356,1883.5604119312336
2014-02-28 01:00:00,2413.0403372697315,1841.782224988191,1320.259386763812,1091.4713299666325,1553.6126038330865
2014-02-28 02:00:00,2413.0428040041465,1757.8203382932047,1030.3993744667644,794.5260030875738,1262.7742302059576
2014-02-28 03:00:00,2413.046303046503,1714.4482065721068,864.0233075200615,628.2920770695849,1110.7115791151339
2014-02-28 04:00:00,2413.050402738933,1711.4131872807966,913.1856611981455,688.9328944921747,1146.8875632095287
2014-02-28 05:00:00,2413.054669265106,1786.142554418231,1180.6469444439886,942.3323314487827,1410.2186284138952
2014-02-28 06:00:00,2413.0587053005183,1964.4383736504178,1557.7388962862942,1313.343427176662,1778.5247593987478
2014-02-28 07:00:00,2413.062180866319,2188.3116449894,1893.613947702553,1655.855260247013,2130.119843584857
2014-02-28 08:00:00,2413.06485457712,2303.076964849508,2094.705780486206,1846.815847041972,2333.68011610227
2014-02-28 09:00:00,2413.0665845372378,2278.59052264075,2161.8853472669066,1929.487908797995,2387.1440234676616
2014-02-28 10:00:00,2413.0673291440735,2265.098635908999,2155.7276948143017,1929.1383680840452,2392.788867621055
2014-02-28 11:00:00,2413.0671389200534,2248.3219755027953,2123.6035541362935,1886.3405748753908,2353.7284070617375
2014-02-28 12:00:00,2413.066141156066,2281.9642419770194,2079.856583283032,1855.2104318502697,2312.120873707195
2014-02-28 13:00:00,2413.0645195749016,2257.650056427801,2041.3765292022767,1824.5728693540993,2267.3702047160627
2014-02-28 14:00:00,2413.0624914030113,2194.944138411813,2075.1263874880024,1838.6542163544034,2296.144040227438
2014-02-28 15:00:00,2413.0602841860823,2213.76862587923,2267.1386817232815,2028.1477195207724,2496.7094918290745
2014-02-28 16:00:00,2413.0581144306575,2336.375516317876,2646.6582742238725,2423.9476985247593,2882.303563424704
2014-02-28 17:00:00,2413.056169746385,2671.547649839237,3115.352930486553,2872.5645002602073,3356.5086028289084
2014-02-28 18:00:00,2413.0545956557903,2933.744310810603,3478.802064850278,3240.8631625605685,3722.912714657257
2014-02-28 19:00:00,2413.0534876874963,2916.1658135376774,3565.1535140127435,3311.0674389376495,3803.7078718372427
2014-02-28 20:00:00,2413.052888828418,2810.94930255361,3335.750177421327,3106.186187801427,3591.9809331573156
2014-02-28 21:00:00,2413.0527919272386,2675.7614458964426,2900.049759908643,2660.4411132662635,3132.9003186425707
2014-02-28 22:00:00,2413.0531462514255,2463.344869254218,2422.782712507937,2189.37048083417,2649.603570418961
2014-02-28 23:00:00,2413.053867126694,2233.2845427206803,2007.7858423869664,1770.3811983688422,2243.0377786916924
